E_x	E_y	E_z
2.101897	1.294257	1.338013
2.059834	1.356609	1.436417
2.093676	1.265822	1.515593
1.906936	1.336185	1.602625
1.912499	1.361122	1.608447
1.819296	1.265254	1.487541
1.672064	1.492560	1.518775
1.776548	1.330397	1.657764
1.828756	1.431120	1.621614
1.730411	1.405755	1.674650
1.839900	1.441840	1.773584
1.746600	1.515878	1.754317
1.578376	1.482999	1.711179
1.616054	1.524357	1.869132
1.638743	1.532992	1.917030
1.638113	1.736379	1.841703
1.472437	1.631024	1.834583
1.687257	1.659995	1.799074
1.486383	1.630386	1.745871
1.524045	1.728187	1.931845
1.588304	1.633606	1.833641
1.641347	1.717932	1.780716
1.547403	1.746117	1.826676
1.533760	1.878554	1.695647
1.508391	1.943988	1.715332
1.670940	1.903001	1.738238
1.613426	1.870030	1.564513
1.432959	2.114630	1.627567
1.744973	2.021067	1.652487
1.676290	2.257036	1.760376
1.660552	2.226148	1.614881
1.639327	2.150167	1.471458
1.593409	2.220134	1.459066
1.660239	2.345000	1.457939
1.734752	2.227078	1.393217
1.587617	2.210809	1.356332
1.651132	2.500990	1.363175
1.643152	2.485947	1.434507
1.519959	2.361496	1.499074
1.775247	2.450709	1.344998
1.593392	2.289738	1.211736
1.746360	2.211182	1.270737
1.648398	2.202958	1.225827
1.727070	1.890543	1.222735
1.995290	2.171654	1.148631
1.865318	2.023126	1.065412
1.981591	1.986380	1.189124
2.000083	1.854891	0.987677
1.994186	1.794946	1.037284
2.173102	1.694216	1.077850
2.132208	1.696363	0.866162
2.018070	1.708996	0.934084
2.225330	1.593883	0.874622
2.174787	1.497002	0.853263
2.242279	1.508385	0.650546
2.414351	1.435451	0.590750
2.508215	1.337048	0.611870
2.475699	1.434755	0.558525
2.503224	1.339857	0.650238
2.547764	1.242045	0.501348
2.574773	1.153980	0.311235
2.632548	1.270085	0.321927
2.553153	1.219839	0.624286
2.656988	1.093243	0.429218
2.782451	1.077268	0.358200
2.664300	1.035609	0.404888
2.840707	1.116327	0.356742
2.712425	0.963501	0.424396
2.740972	1.059549	0.582725
2.778708	1.012778	0.298989
2.848881	1.077484	0.213513
2.835065	1.022452	0.455032
2.847416	1.046323	0.406521
2.768706	1.154844	0.345487
2.694269	1.057295	0.387848
2.723715	1.093564	0.243212
2.768656	1.300331	0.241785
2.723798	1.276803	0.325611
2.738098	1.119790	0.376133
2.669487	1.305206	0.448131
2.854341	1.309651	0.401160
2.648645	1.277548	0.422269
2.583300	1.357329	0.518289
2.498916	1.473483	0.543177
2.532190	1.274615	0.425968
2.602780	1.480082	0.425896
2.430071	1.594972	0.573148
2.410550	1.556428	0.535944
2.318104	1.758782	0.576085
2.435827	1.806875	0.711675
2.268037	1.779442	0.672992
2.187289	1.830884	0.625694
2.297774	1.829885	0.769674
2.182735	1.904033	0.840043
2.078012	2.047825	0.737368
2.074791	2.186995	0.806218
1.965902	2.139049	0.938116
1.994383	2.195720	1.015960
2.002795	2.247653	0.994097
1.921816	2.416419	1.046030
1.750606	2.412868	1.090509
1.613779	2.447974	1.102548
1.723871	2.462349	1.199571
1.738886	2.456060	1.265606
1.622494	2.593436	1.314200
1.529526	2.666610	1.267696
1.619624	2.657489	1.484363
1.503372	2.645988	1.382253
1.460437	2.771720	1.298152
1.369274	2.668310	1.524625
1.543943	2.774220	1.472841
1.390600	2.899704	1.446148
1.375398	2.912940	1.581401
1.346501	2.938734	1.367007
1.360573	2.834978	1.456088
1.328302	3.003876	1.604323
1.344516	3.034963	1.732022
1.382064	2.979212	1.655282
1.127918	2.910889	1.599986
1.402913	2.918202	1.683405
1.276541	2.932962	1.809513
1.186648	2.938843	1.632171
1.135598	2.869199	1.687782
1.206738	2.850299	1.585007
1.240103	2.772892	1.744627
1.262954	2.756380	1.658805
1.213787	2.866098	1.774156
1.145927	2.823859	1.650527
1.356154	2.801012	1.592385
1.303909	2.691949	1.713118
1.354178	2.857843	1.608955
1.326797	2.562447	1.456886
1.290961	2.654010	1.606509
1.323404	2.656551	1.506069
1.487471	2.663414	1.581322
1.492898	2.426548	1.322364
1.497638	2.426455	1.377455
2.343799	2.441339	0.217399
2.426053	2.379955	0.327390
2.361142	2.382437	0.426973
2.316114	2.295139	0.414707
2.194168	2.323968	0.419674
2.248578	2.279667	0.317927
2.206209	2.268587	0.510132
2.152468	2.327815	0.474278
2.283509	2.235252	0.533728
2.324355	2.083197	0.695767
2.245887	2.091235	0.777404
2.131039	2.131425	0.739949
2.118065	2.138384	0.828517
1.974829	2.142886	0.693830
