E_x	E_y	E_z
1.399829	3.008030	1.345773
1.459823	2.898259	1.359432
1.521435	2.856678	1.300456
1.435826	2.819598	1.290379
1.421963	2.984906	1.373509
1.471294	2.981897	1.345495
1.485177	2.909054	1.377666
1.411324	2.732564	1.349645
1.560898	2.983585	1.434058
1.546083	2.919376	1.378375
1.406253	2.887592	1.411669
1.542093	2.899375	1.333616
1.451088	2.953423	1.260971
1.278104	2.865506	1.279572
1.411497	2.894140	1.338983
1.557855	2.928121	1.397348
1.494919	2.816559	1.454567
1.441927	2.950578	1.298051
1.330455	2.959918	1.408462
1.378733	2.831601	1.466415
1.356602	3.018239	1.316222
1.493130	2.868571	1.430754
1.403908	2.879151	1.390315
1.369039	2.945030	1.350470
1.426568	2.812964	1.198486
1.428917	3.066524	1.451191
1.441352	2.863863	1.395700
1.483406	2.792986	1.479242
1.495623	2.933344	1.430192
1.443060	2.927842	1.443314
1.414677	2.832220	1.408174
1.557070	2.780136	1.292061
1.452936	2.874679	1.416700
1.458584	2.851882	1.516998
1.319949	2.804210	1.399057
1.316530	2.850849	1.532937
1.441110	2.878997	1.315325
1.393113	2.831178	1.387503
1.535282	2.898733	1.329450
1.457487	2.891827	1.499782
1.557403	2.775849	1.354902
1.344429	2.831917	1.452122
1.512705	2.841226	1.394568
1.449966	2.781706	1.576668
1.317962	2.855584	1.573102
1.439020	2.824829	1.395885
1.424977	2.939366	1.258150
1.553532	2.726892	1.405369
1.406372	2.875085	1.306821
1.473291	2.979987	1.325737
1.452941	2.775704	1.461195
1.440257	2.774397	1.467105
1.574276	2.805314	1.485741
1.342106	2.744990	1.468417
1.550584	2.840452	1.410717
1.439418	2.717027	1.480728
1.505865	2.773895	1.401312
1.459871	2.772010	1.432763
1.597672	2.783167	1.411989
1.391911	2.854408	1.426396
1.392081	2.894558	1.547564
1.396081	2.652306	1.517746
1.390117	2.848397	1.295496
1.508782	2.695036	1.499115
1.443303	2.711070	1.414816
1.494123	2.787269	1.490194
1.591322	2.658689	1.568655
1.451377	2.705248	1.348573
1.429849	2.838399	1.439746
1.557875	2.657026	1.449353
1.351136	2.789695	1.517706
1.414058	2.563634	1.467023
1.478942	2.785771	1.545680
1.366450	2.802933	1.543310
1.314000	2.772329	1.416917
1.441917	2.770840	1.419029
1.398012	2.743705	1.374850
1.367934	2.788447	1.371038
1.500046	2.768509	1.328548
1.399979	2.819665	1.385164
1.416712	2.761024	1.518256
1.433444	2.677790	1.566911
1.583516	2.792224	1.467346
1.393290	2.652703	1.500831
1.486122	2.816256	1.511103
1.342865	2.786153	1.388123
1.427673	2.722114	1.613293
1.690612	2.744919	1.450501
1.498375	2.762026	1.440794
1.593867	2.708717	1.502760
1.510132	2.719063	1.528917
1.414876	2.641527	1.384033
1.495137	2.737748	1.501408
1.588786	2.674810	1.517742
1.382368	2.642071	1.520245
1.528996	2.644905	1.463184
1.352562	2.635997	1.535789
1.510652	2.696119	1.473180
1.469173	2.604815	1.522278
1.501368	2.686984	1.430814
1.309467	2.728087	1.434735
1.407453	2.693504	1.441610
1.552871	2.683435	1.522623
1.372165	2.723697	1.491275
1.448172	2.639172	1.338771
1.507794	2.546807	1.370827
1.364266	2.703029	1.425352
1.594791	2.574935	1.344746
1.397361	2.703324	1.461338
1.441338	2.618134	1.510878
1.567645	2.710240	1.446456
1.385786	2.566039	1.493136
1.414379	2.520686	1.499557
1.484453	2.590331	1.417024
1.472283	2.513930	1.540796
1.568688	2.440137	1.404419
1.380307	2.525179	1.467957
1.385345	2.500099	1.398982
1.511155	2.569724	1.420194
1.510433	2.518785	1.453976
1.624262	2.655561	1.376889
1.562584	2.611100	1.388227
1.563384	2.660787	1.390125
1.434803	2.616941	1.494629
1.546637	2.561315	1.503502
1.407471	2.609452	1.561833
1.491452	2.522754	1.359175
1.548944	2.564010	1.469220
1.596440	2.491120	1.516087
1.437396	2.509459	1.460504
1.532546	2.478540	1.463540
1.579398	2.468507	1.352708
1.650478	2.599863	1.376064
1.572822	2.453501	1.492509
1.545013	2.468594	1.413710
1.473028	2.412392	1.409832
